y,x,value
Cyprus,2002,1
Cyprus,2003,1
Cyprus,2004,1
Cyprus,2005,02
Cyprus,2006,.01
Cyprus,2007,.02
Cyprus,2008,.02
Cyprus,2009,.02
Cyprus,2010,.03
Cyprus,2011,.02
Cyprus,2012,.04
Cyprus,2013,.04
Cyprus,2014,.03
Latvia,2002,1
Latvia,2003,1
Latvia,2004,1
Latvia,2005,.01
Latvia,2006,.02
Latvia,2007,.02
Latvia,2008,.01
Latvia,2009,.02
Latvia,2010,.01
Latvia,2011,.01
Latvia,2012,.03
Latvia,2013,.03
Latvia,2014,.04
Lithuania,2002,1
Lithuania,2003,1
Lithuania,2004,1
Lithuania,2005,.01
Lithuania,2006,.02
Lithuania,2007,.02
Lithuania,2008,.02
Lithuania,2009,.03
Lithuania,2010,.02
Lithuania,2011,.04
Lithuania,2012,1
Lithuania,2013,.06
Lithuania,2014,.05
Luxembourg,2002,1
Luxembourg,2003,1
Luxembourg,2004,1
Luxembourg,2005,.1
Luxembourg,2006,.12
Luxembourg,2007,.14
Luxembourg,2008,.12
Luxembourg,2009,.17
Luxembourg,2010,.20
Luxembourg,2011,.24
Luxembourg,2012,1
Luxembourg,2013,.28
Luxembourg,2014,.36
Hungary,2002,1
Hungary,2003,1
Hungary,2004,1
Hungary,2005,.03
Hungary,2006,.02
Hungary,2007,.03
Hungary,2008,.03
Hungary,2009,.03
Hungary,2010,.04
Hungary,2011,05
Hungary,2012,1
Hungary,2013,.04
Hungary,2014,.04
Austria,2002,1
Austria,2003,1
Austria,2004,1
Austria,2005,.04
Austria,2006,.04
Austria,2007,.05
Austria,2008,.05
Austria,2009,.05
Austria,2010,.09
Austria,2011,.12
Austria,2012,1
Austria,2013,.18
Austria,2014,.20
Poland,2002,1
Poland,2003,1
Poland,2004,1
Poland,2005,.04
Poland,2006,.06
Poland,2007,.06
Poland,2008,.05
Poland,2009,.05
Poland,2010,.07
Poland,2011,.06
Poland,2012,1
Poland,2013,.06
Poland,2014,.05
Portugal,2002,1
Portugal,2003,1
Portugal,2004,1
Portugal,2005,.05
Portugal,2006,.01
Portugal,2007,.01
Portugal,2008,.03
Portugal,2009,.03
Portugal,2010,.04
Portugal,2011,.05
Portugal,2012,1
Portugal,2013,.07
Portugal,2014,.1
Finland,2002,1
Finland,2003,1
Finland,2004,1
Finland,2005,.30
Finland,2006,.06
Finland,2007,.11
Finland,2008,.13
Finland,2009,.1
Finland,2010,.18
Finland,2011,.21
Finland,2012,1
Finland,2013,.24
Finland,2014,.24
Sweden,2002,1
Sweden,2003,1
Sweden,2004,1
Sweden,2005,.09
Sweden,2006,.09
Sweden,2007,.12
Sweden,2008,.08
Sweden,2009,.1
Sweden,2010,.14
Sweden,2011,.2
Sweden,2012,1
Sweden,2013,.34
Sweden,2014,.34
Norway,2002,1
Norway,2003,1
Norway,2004,1
Norway,2005,.1
Norway,2006,.16
Norway,2007,.14
Norway,2008,.16
Norway,2009,.27
Norway,2010,.29
Norway,2011,.3
Norway,2012,1
Norway,2013,.37
Norway,2014,.45
United Kingdom,2002,1
United Kingdom,2003,1
United Kingdom,2004,1
United Kingdom,2005,.11
United Kingdom,2006,.11
United Kingdom,2007,.12
United Kingdom,2008,.11
United Kingdom,2009,.19
United Kingdom,2010,.22
United Kingdom,2011,.24
United Kingdom,2012,.36
United Kingdom,2013,.36
United Kingdom,2014,.39
Iceland,2002,1
Iceland,2003,1
Iceland,2004,1
Iceland,2005,.14
Iceland,2006,.22
Iceland,2007,.18
Iceland,2008,14
Iceland,2009,.19
Iceland,2010,.19
Iceland,2011,21
Iceland,2012,1
Iceland,2013,.31
Iceland,2014,.37
