y,x,value
Greece,2013,1
Greece,2014,.33
Cyprus,2002,1
Cyprus,2003,1
Cyprus,2004,.18
Cyprus,2005,.15
Cyprus,2006,.17
Cyprus,2007,.2
Cyprus,2008,1
Cyprus,2009,.25
Cyprus,2010,.29
Cyprus,2011,1
Cyprus,2012,.37
Cyprus,2013,1
Cyprus,2014,.38
Latvia,2002,1
Latvia,2003,1
Latvia,2004,.16
Latvia,2005,.21
Latvia,2006,.24
Latvia,2007,.27
Latvia,2008,1
Latvia,2009,.38
Latvia,2010,.38
Latvia,2011,1
Latvia,2012,.39
Latvia,2013,1
Latvia,2014,.39
Lithuania,2002,1
Lithuania,2003,.12
Lithuania,2004,.15
Lithuania,2005,.17
Lithuania,2006,.24
Lithuania,2007,.27
Lithuania,2008,1
Lithuania,2009,.35
Lithuania,2010,.32
Lithuania,2011,1
Lithuania,2012,.31
Lithuania,2013,1
Lithuania,2014,.33
Luxembourg,2002,.14
Luxembourg,2003,.17
Luxembourg,2004,.29
Luxembourg,2005,.30
Luxembourg,2006,.26
Luxembourg,2007,.33
Luxembourg,2008,1
Luxembourg,2009,.33
Luxembourg,2010,.38
Luxembourg,2011,1
Luxembourg,2012,.49
Luxembourg,2013,1
Luxembourg,2014,.56
Hungary,2002,1
Hungary,2003,1
Hungary,2004,.12
Hungary,2005,.17
Hungary,2006,.22
Hungary,2007,.26
Hungary,2008,1
Hungary,2009,.29
Hungary,2010,.32
Hungary,2011,1
Hungary,2012,.36
Hungary,2013,1
Hungary,2014,.35
Austria,2002,.07
Austria,2003,.12
Austria,2004,.1
Austria,2005,.14
Austria,2006,.15
Austria,2007,.17
Austria,2008,1
Austria,2009,.21
Austria,2010,.18
Austria,2011,1
Austria,2012,.32
Austria,2013,1
Austria,2014,.34
Poland,2002,1
Poland,2003,1
Poland,2004,.14
Poland,2005,.12
Poland,2006,.16
Poland,2007,.17
Poland,2008,1
Poland,2009,.2
Poland,2010,.24
Poland,2011,1
Poland,2012,.28
Poland,2013,1
Poland,2014,.28
Portugal,2002,1
Portugal,2003,.11
Portugal,2004,.13
Portugal,2005,.14
Portugal,2006,.16
Portugal,2007,.21
Portugal,2008,1
Portugal,2009,.2
Portugal,2010,.22
Portugal,2011,1
Portugal,2012,.29
Portugal,2013,1
Portugal,2014,.32
Finland,2002,.19
Finland,2003,.25
Finland,2004,.38
Finland,2005,.22
Finland,2006,.33
Finland,2007,.34
Finland,2008,1
Finland,2009,.38
Finland,2010,.47
Finland,2011,1
Finland,2012,58
Finland,2013,1
Finland,2014,.65
Sweden,2002,.34
Sweden,2003,.27
Sweden,2004,.23
Sweden,2005,.31
Sweden,2006,.34
Sweden,2007,.35
Sweden,2008,1
Sweden,2009,1
Sweden,2010,.25
Sweden,2011,1
Sweden,2012,.56
Sweden,2013,1
Sweden,2014,.53
Norway,2002,1
Norway,2003,.23
Norway,2004,.23
Norway,2005,.26
Norway,2006,.37
Norway,2007,.35
Norway,2008,1
Norway,2009,.39
Norway,2010,.41
Norway,2011,1
Norway,2012,.54
Norway,2013,1
Norway,2014,.54
United Kingdom,2002,.1
United Kingdom,2003,.19
United Kingdom,2004,.25
United Kingdom,2005,.23
United Kingdom,2006,.24
United Kingdom,2007,.26
United Kingdom,2008,1
United Kingdom,2009,.36
United Kingdom,2010,.33
United Kingdom,2011,1
United Kingdom,2012,.43
United Kingdom,2013,1
United Kingdom,2014,.47
Iceland,2002,1
Iceland,2003,.30
Iceland,2004,.34
Iceland,2005,.29
Iceland,2006,.34
Iceland,2007,.36
Iceland,2008,1
Iceland,2009,.42
Iceland,2010,.39
Iceland,2011,1
Iceland,2012,.54
Iceland,2013,1
Iceland,2014,.53
